functie,beschrijving,kleur
woonfunctie,woon,firebrick
celfunctie,cel,teal
industriefunctie,industrie,grey
kantoorfunctie,kantoor,indianred
winkelfunctie,winkel,mediumslateblue
kasfunctie,kas,darkslateblue
logiesfunctie,logies,chocolate
bijeenkomstfunctie,bijeenkomst,sandybrown
sportfunctie,sport,violet
onderwijsfunctie,onderwijs,lightblue
gezondheidszorgfunctie,gezondheidszorg,dodgerblue
overig gebruiksfunctie,overig gebruik,lightgray
None,overig,pink
